area,month,orientation,inclination,c1
H1c,Mars,Est,75°> >=25°,1.31
H1c,Mars,Est,<25°,1.02
H1c,Mars,Horizontal,,1.02
H1c,Avril,Sud,>=75°,1
H1c,Avril,Sud,75°> >=25°,2.45
H1c,Avril,Sud,<25°,1.61
H1c,Avril,Ouest,>=75°,0.6
H1c,Avril,Ouest,75°> >=25°,1.51
H1c,Avril,Ouest,<25°,1.4
H1c,Avril,Nord,>=75°,0.48
H1c,Avril,Nord,75°> >=25°,1.16
H1c,Avril,Nord,<25°,1.37
H1c,Avril,Est,>=75°,1.09
H1c,Avril,Est,75°> >=25°,2.37
H1c,Avril,Est,<25°,1.6
H1c,Avril,Horizontal,,1.49
H1c,Mai,Sud,>=75°,1
H1c,Mai,Sud,75°> >=25°,2.84
H1c,Mai,Sud,<25°,2.08
H1c,Mai,Ouest,>=75°,1.22
H1c,Mai,Ouest,75°> >=25°,2.75
H1c,Mai,Ouest,<25°,2.06
H1c,Mai,Nord,>=75°,0.7
H1c,Mai,Nord,75°> >=25°,1.84
H1c,Mai,Nord,<25°,1.94
H1c,Mai,Est,>=75°,1
H1c,Mai,Est,75°> >=25°,2.4
H1c,Mai,Est,<25°,1.98
H1c,Mai,Horizontal,,2
H1c,Juin,Sud,>=75°,1
H1c,Juin,Sud,75°> >=25°,3.1
H1c,Juin,Sud,<25°,2.38
H1c,Juin,Ouest,>=75°,1.26
H1c,Juin,Ouest,75°> >=25°,2.95
H1c,Juin,Ouest,<25°,2.33
H1c,Juin,Nord,>=75°,0.77
H1c,Juin,Nord,75°> >=25°,2.19
H1c,Juin,Nord,<25°,2.26
H1c,Juin,Est,>=75°,1.2
H1c,Juin,Est,75°> >=25°,2.88
H1c,Juin,Est,<25°,2.31
H1c,Juin,Horizontal,,2.31
H1c,Juillet,Sud,>=75°,1
H1c,Juillet,Sud,75°> >=25°,3.04
H1c,Juillet,Sud,<25°,2.29
H1c,Juillet,Ouest,>=75°,1.26
H1c,Juillet,Ouest,75°> >=25°,2.92
H1c,Juillet,Ouest,<25°,2.25
H1c,Juillet,Nord,>=75°,0.71
H1c,Juillet,Nord,75°> >=25°,1.99
H1c,Juillet,Nord,<25°,2.14
H1c,Juillet,Est,>=75°,1.1
H1c,Juillet,Est,75°> >=25°,2.66
H1c,Juillet,Est,<25°,2.19
H1c,Juillet,Horizontal,,2.21
H1c,Août,Sud,>=75°,1
H1c,Août,Sud,75°> >=25°,2.67
H1c,Août,Sud,<25°,1.85
H1c,Août,Ouest,>=75°,1.03
H1c,Août,Ouest,75°> >=25°,2.37
H1c,Août,Ouest,<25°,1.79
H1c,Août,Nord,>=75°,0.57
H1c,Août,Nord,75°> >=25°,1.44
H1c,Août,Nord,<25°,1.66
H1c,Août,Est,>=75°,0.9
H1c,Août,Est,75°> >=25°,2.12
H1c,Août,Est,<25°,1.74
H1c,Août,Horizontal,,1.75
H1c,Septembre,Sud,>=75°,1
H1c,Septembre,Sud,75°> >=25°,2.21
H1c,Septembre,Sud,<25°,1.38
H1c,Septembre,Ouest,>=75°,0.78
H1c,Septembre,Ouest,75°> >=25°,1.73
H1c,Septembre,Ouest,<25°,1.29
H1c,Septembre,Nord,>=75°,0.48
H1c,Septembre,Nord,75°> >=25°,1.07
H1c,Septembre,Nord,<25°,1.15
H1c,Septembre,Est,>=75°,0.67
H1c,Septembre,Est,75°> >=25°,1.58
H1c,Septembre,Est,<25°,1.26
H1c,Septembre,Horizontal,,1.26
H1c,Octobre,Sud,>=75°,1
H1c,Octobre,Sud,75°> >=25°,1.89
H1c,Octobre,Sud,<25°,1.03
H1c,Octobre,Ouest,>=75°,0.62
H1c,Octobre,Ouest,75°> >=25°,1.3
H1c,Octobre,Ouest,<25°,0.92
H1c,Octobre,Nord,>=75°,0.36
H1c,Octobre,Nord,75°> >=25°,0.75
H1c,Octobre,Nord,<25°,0.76
H1c,Octobre,Est,>=75°,0.47
H1c,Octobre,Est,75°> >=25°,1.09
H1c,Octobre,Est,<25°,0.87
H1c,Octobre,Horizontal,,0.89
H1c,Novembre,Sud,>=75°,1
H1c,Novembre,Sud,75°> >=25°,1.77
H1c,Novembre,Sud,<25°,0.9
H1c,Novembre,Ouest,>=75°,0.53
H1c,Novembre,Ouest,75°> >=25°,1.12
H1c,Novembre,Ouest,<25°,0.78
H1c,Novembre,Nord,>=75°,0.35
H1c,Novembre,Nord,75°> >=25°,0.74
H1c,Novembre,Nord,<25°,0.64
H1c,Novembre,Est,>=75°,0.42
H1c,Novembre,Est,75°> >=25°,0.95
H1c,Novembre,Est,<25°,0.75
H1c,Novembre,Horizontal,,0.76
H1c,Décembre,Sud,>=75°,1
H1c,Décembre,Sud,75°> >=25°,1.63
H1c,Décembre,Sud,<25°,0.71
H1c,Décembre,Ouest,>=75°,0.42
H1c,Décembre,Ouest,75°> >=25°,0.87
H1c,Décembre,Ouest,<25°,0.58
H1c,Décembre,Nord,>=75°,0.26
H1c,Décembre,Nord,75°> >=25°,0.56
H1c,Décembre,Nord,<25°,0.45
H1c,Décembre,Est,>=75°,0.35
H1c,Décembre,Est,75°> >=25°,0.75
H1c,Décembre,Est,<25°,0.56
H1c,Décembre,Horizontal,,0.56
H2a,Janvier,Sud,>=75°,1
H2a,Janvier,Sud,75°> >=25°,1.66
H2a,Janvier,Sud,<25°,0.75
H2a,Janvier,Ouest,>=75°,0.42
H2a,Janvier,Ouest,75°> >=25°,0.88
H2a,Janvier,Ouest,<25°,0.49
H2a,Janvier,Nord,>=75°,0.28
H2a,Janvier,Nord,75°> >=25°,0.6
H2a,Janvier,Nord,<25°,0.49
H2a,Janvier,Est,>=75°,0.39
H2a,Janvier,Est,75°> >=25°,0.83
H2a,Janvier,Est,<25°,0.61
H2a,Janvier,Horizontal,,1.14
H2a,Février,Sud,>=75°,1
H2a,Février,Sud,75°> >=25°,1.79
H2a,Février,Sud,<25°,0.91
H2a,Février,Ouest,>=75°,0.53
H2a,Février,Ouest,75°> >=25°,1.11
H2a,Février,Ouest,<25°,0.64
H2a,Février,Nord,>=75°,0.33
H2a,Février,Nord,75°> >=25°,0.69
H2a,Février,Nord,<25°,0.64
H2a,Février,Est,>=75°,0.48
H2a,Février,Est,75°> >=25°,1.03
H2a,Février,Est,<25°,0.76
H2a,Février,Horizontal,,1.21
H2a,Mars,Sud,>=75°,1
H2a,Mars,Sud,75°> >=25°,2.01
H2a,Mars,Sud,<25°,1.13
H2a,Mars,Ouest,>=75°,0.56
H2a,Mars,Ouest,75°> >=25°,1.26
H2a,Mars,Ouest,<25°,0.85
H2a,Mars,Nord,>=75°,0.35
H2a,Mars,Nord,75°> >=25°,0.74
H2a,Mars,Nord,<25°,0.85
H2a,Mars,Est,>=75°,0.66
H2a,Mars,Est,75°> >=25°,1.42
H2a,Mars,Est,<25°,1.02
H2a,Mars,Horizontal,,1.29
H2a,Avril,Sud,>=75°,1
H2a,Avril,Sud,75°> >=25°,2.4
H2a,Avril,Sud,<25°,1.57
H2a,Avril,Ouest,>=75°,0.87
H2a,Avril,Ouest,75°> >=25°,1.96
H2a,Avril,Ouest,<25°,1.35
H2a,Avril,Nord,>=75°,0.51
H2a,Avril,Nord,75°> >=25°,1.2
H2a,Avril,Nord,<25°,1.35
H2a,Avril,Est,>=75°,0.85
H2a,Avril,Est,75°> >=25°,1.9
H2a,Avril,Est,<25°,1.47
H2a,Avril,Horizontal,,1.72
H2a,Mai,Sud,>=75°,1
H2a,Mai,Sud,75°> >=25°,2.86
H2a,Mai,Sud,<25°,2.08
H2a,Mai,Ouest,>=75°,1.11
H2a,Mai,Ouest,75°> >=25°,2.58
H2a,Mai,Ouest,<25°,1.92
H2a,Mai,Nord,>=75°,0.65
H2a,Mai,Nord,75°> >=25°,1.73
H2a,Mai,Nord,<25°,1.92
H2a,Mai,Est,>=75°,1.08
H2a,Mai,Est,75°> >=25°,2.51
H2a,Mai,Est,<25°,2
H2a,Mai,Horizontal,,2.36
H2a,Juin,Sud,>=75°,1
H2a,Juin,Sud,75°> >=25°,2.98
H2a,Juin,Sud,<25°,2.26
H2a,Juin,Ouest,>=75°,1.14
H2a,Juin,Ouest,75°> >=25°,2.71
H2a,Juin,Ouest,<25°,2.15
H2a,Juin,Nord,>=75°,0.77
H2a,Juin,Nord,75°> >=25°,2.11
H2a,Juin,Nord,<25°,2.15
H2a,Juin,Est,>=75°,1.27
H2a,Juin,Est,75°> >=25°,2.91
H2a,Juin,Est,<25°,2.23
H2a,Juin,Horizontal,,2.72
H2a,Juillet,Sud,>=75°,1
H2a,Juillet,Sud,75°> >=25°,2.8
H2a,Juillet,Sud,<25°,2.08
H2a,Juillet,Ouest,>=75°,1.08
H2a,Juillet,Ouest,75°> >=25°,2.51
H2a,Juillet,Ouest,<25°,1.95
H2a,Juillet,Nord,>=75°,0.74
H2a,Juillet,Nord,75°> >=25°,1.93
H2a,Juillet,Nord,<25°,1.95
H2a,Juillet,Est,>=75°,1.14
H2a,Juillet,Est,75°> >=25°,2.64
H2a,Juillet,Est,<25°,2.03
H2a,Juillet,Horizontal,,2.83
H2a,Août,Sud,>=75°,1
H2a,Août,Sud,75°> >=25°,2.57
H2a,Août,Sud,<25°,1.76
H2a,Août,Ouest,>=75°,0.92
H2a,Août,Ouest,75°> >=25°,2.12
H2a,Août,Ouest,<25°,1.56
H2a,Août,Nord,>=75°,0.55
H2a,Août,Nord,75°> >=25°,1.36
H2a,Août,Nord,<25°,1.56
H2a,Août,Est,>=75°,0.97
H2a,Août,Est,75°> >=25°,2.18
H2a,Août,Est,<25°,1.67
H2a,Août,Horizontal,,2.15
H2a,Septembre,Sud,>=75°,1
H2a,Septembre,Sud,75°> >=25°,2.2
H2a,Septembre,Sud,<25°,1.32
H2a,Septembre,Ouest,>=75°,0.7
H2a,Septembre,Ouest,75°> >=25°,1.57
H2a,Septembre,Ouest,<25°,1.04
H2a,Septembre,Nord,>=75°,0.37
H2a,Septembre,Nord,75°> >=25°,0.82
H2a,Septembre,Nord,<25°,1.04
H2a,Septembre,Est,>=75°,0.7
H2a,Septembre,Est,75°> >=25°,1.56
H2a,Septembre,Est,<25°,1.19
H2a,Septembre,Horizontal,,1.31
H2a,Octobre,Sud,>=75°,1
H2a,Octobre,Sud,75°> >=25°,1.86
H2a,Octobre,Sud,<25°,0.98
H2a,Octobre,Ouest,>=75°,0.49
H2a,Octobre,Ouest,75°> >=25°,1.07
H2a,Octobre,Ouest,<25°,0.69
H2a,Octobre,Nord,>=75°,0.33
H2a,Octobre,Nord,75°> >=25°,0.68
H2a,Octobre,Nord,<25°,0.69
H2a,Octobre,Est,>=75°,0.54
H2a,Octobre,Est,75°> >=25°,1.18
H2a,Octobre,Est,<25°,0.85
H2a,Octobre,Horizontal,,1.15
H2a,Novembre,Sud,>=75°,1
H2a,Novembre,Sud,75°> >=25°,1.72
