inertie,altitude,month,zone_climatique,E-pv(kWh/m²),Text(°C),E(kWh/m²),Nref(19°C),DH19(°Ch),DH14(°Ch),Nref(21°C),DH21(°Ch),Tefs(°C),Textmoy_clim(°C)Tcons=26°C,Textmoy_clim(°C)Tcons=28°C,E_fr(kWh/m²)Tcons=26°C,E_fr(kWh/m²)Tcons=28°C,Nref(26°C),Nref(28°C),DH26(°Ch),DH28(°Ch)
Légère ou Moyenne,8000,Août,H1b,188.8,11.4,14.78,114,810.3,385.2,121,1049.4,13.3,27.4,28.6,7.64,2.72,20,6,28.9,3.9
Légère ou Moyenne,8000,Septembre,H1b,148.7,12.2,88.7,633,4600.9,2065.2,683,5913.7,12.8,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Octobre,H1b,101.5,8.4,61.93,628,6562.7,3860.9,638,7828.3,10.6,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Novembre,H1b,46.5,2.6,33.95,720,11353.8,8233.8,720,12793.8,6.5,0,0,0,0,0,0,0,0
Légère ou Moyenne,8000,Décembre,H1b,47.9,-0.2,37.72,744,13428.5,10560.5,744,14916.5,3.9,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Janvier,H1b,41.5,0.7,31.13,744,13156.7,9928.7,744,14644.7,2.9,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Février,H1b,66.8,1.2,45.92,672,11562.7,8634.7,672,12906.7,2.1,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Mars,H1b,99,3.3,61.88,744,11177.8,7937.8,744,12665.8,2.4,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Avril,H1b,152.7,6.3,68.92,622,7551.9,4928.7,624,8797.7,3.6,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Mai,H1b,182.7,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Juin,H1b,215.6,0,0,0,0,0,0,0,10.9,27.8,29.2,5.09,1.96,15,5,26.9,6
Lourde ou Très lourde,8000,Juillet,H1b,227.4,0,0,0,0,0,0,0,12.9,27,28.2,13.34,1.45,37,3,38.7,0.7
Lourde ou Très lourde,8000,Août,H1b,188.8,0,0,0,0,0,0,0,13.3,27.4,28.6,7.64,2.72,20,6,28.9,3.9
Lourde ou Très lourde,8000,Septembre,H1b,148.7,0,0,0,0,0,0,0,12.8,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Octobre,H1b,101.5,8.5,53.53,508,5281.6,3107.8,518,6307.2,10.6,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Novembre,H1b,46.5,2.6,33.95,720,11353.8,8233.8,720,12793.8,6.5,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Décembre,H1b,47.9,-0.2,37.72,744,13428.5,10560.5,744,14916.5,3.9,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Janvier,H1c,61.5,3.8,47.86,741,10855.3,7640.7,744,12341.2,6.1,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Février,H1c,81.3,3.9,55.9,672,9690.3,6768.8,672,11034.3,4.4,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Mars,H1c,149.7,8.5,91.2,730,7369.8,4277.2,743,8843.1,8.5,0,0,0,0,0,0,0,0
